FarmerID,Predicted_Income
0,144924.52933564907
1,278213.45077858993
2,224703.61503116094
3,360163.7066130156
4,359645.490887986
5,227777.4994711329
6,425476.63121192483
7,494040.04780019826
8,426226.36790111323
9,277897.99184429576
10,128415.62823082751
11,219314.1046730664
12,82824.29374775848
13,367339.8007916999
14,345820.54353772773
15,280380.1494483018
16,198147.93358047827
17,146519.55020682066
18,266130.84955946455
19,573595.6958701955
20,178791.93042603403
21,190215.79586931
22,238384.41635523475
23,257527.4227058845
24,274668.31142876076
25,156712.85923016662
26,233343.32724173644
27,255911.3875155794
28,131368.62141121746
29,170396.93410474854
30,658724.1803088177
31,171235.5374419986
32,182184.18478833378
33,125388.49251085878
34,308858.69566015527
35,71005.10160550338
36,77617.10164920878
37,68780.95739512573
38,77133.87381007522
39,114484.69811064137
40,70424.72197297499
41,92065.75000830785
42,72455.70308526093
43,351745.96329155704
44,73151.15216200188
45,75428.47853431055
46,74311.48221055769
47,304913.2956577586
48,711692.4038086019
49,445878.68339557096
50,112356.04232841673
51,198040.8945543669
52,159188.73552497022
53,91752.73157972943
54,562104.5532169669
55,562104.5532169669
56,64811.89781567389
57,183381.25928990458
58,173248.33835719575
59,168827.8693758694
60,432431.6385174012
61,139090.84692714678
62,108691.94087663264
63,201968.57411971176
64,10962593.698201507
65,204759.71274338214
66,201655.55583427133
67,201655.55583427133
68,183846.28573260253
69,179829.73641269014
70,200592.94668540626
71,135697.6187329538
72,114099.2448970172
73,128674.2534510626
74,114165.1115249162
75,118640.33953652231
76,92718.77151572744
77,585085.1913314527
78,584306.916048413
79,177916.6966936171
80,434908.4437913627
81,160788.36221385846
82,263442.6614859584
83,167193.1838933691
84,50422.539540964506
85,237668.23018567666
86,186982.05628205926
87,186416.56025666106
88,149961.616110967
89,191904.5005177061
90,237605.3883288406
91,191730.93047948784
92,196074.5947673695
93,245006.7045907601
94,163843.44938214557
95,166471.07810975914
96,190489.73058514757
97,191904.5005177061
98,164820.71533749613
99,165869.37233202695
100,71594.99841720688
101,139293.14196054556
102,130610.49175418363
103,183986.4760577035
104,132081.09619430208
105,141176.72698037908
106,165670.962966077
107,159079.44725620523
108,356155.46413804917
109,130636.55850791448
110,111894.58171135974
111,216108.7637717386
112,61569.86423589934
113,67300.01138170046
114,77085.43981509173
115,4838829.753130048
116,480231.0134753641
117,265606.80381786166
118,62724.789859237135
119,264214.17578718433
120,141967.11356011924
121,64899.42768009736
122,89818.69845406321
123,114650.21698409952
124,439288.0135720132
125,585956.9215751127
126,63963.52776890449
127,204665.45503962607
128,176469.82968611794
129,176505.5351588967
130,155721.91442486108
131,130335.35538407054
132,69749.30607283997
133,311913.8008016056
134,292184.3407599667
135,57508.51117013523
136,91885.92041378867
137,212312.084434992
138,207905.19326321158
139,66370.18465888854
140,77775.38138159091
141,64444.19371398847
142,158285.6537094018
143,167318.11380643107
144,524681.7657045966
145,306931.73614762595
146,349161.90885851276
147,1841546.1658088823
148,400128.63755231583
149,1810958.670383273
150,386569.4328038803
151,183038.23912675094
152,766198.218247643
153,1813063.31608936
154,260143.30622617248
155,370429.1120433239
156,1087972.6600416712
157,527310.2811685109
158,259763.95288750518
159,1801936.2477829503
160,428441.73576045217
161,131464.58420989892
162,95172.89570181594
163,322869.8241260452
164,126829.09636060052
165,98829.6197158236
166,202478.37204227166
167,692570.3538348281
168,752227.7670000336
169,123817.4861185824
170,167504.32599701037
171,167349.8384362528
172,166133.12998965546
173,207897.31038727408
174,355540.6386209798
175,358125.0156774303
176,113296.71846232982
177,171729.37415164185
178,194993.9104856327
179,174288.60609861783
180,189441.83062171302
181,111298.44143435657
182,109616.20187246671
183,111267.03815779136
184,175897.81539326065
185,217600.79740861108
186,494029.54050188104
187,112834.0443636563
188,52241.5089157364
189,68085.96692514415
190,55115.11960749804
191,197701.11016181597
192,48494.63225732103
193,72242.24072911675
194,48185.784422708275
195,201891.93158278137
196,72501.21289789614
197,52257.43197644006
198,72107.48340631917
199,130888.32525074366
200,230669.11438635748
201,172074.2528283713
202,169633.44414591664
203,189461.04076522967
204,208608.43008746672
205,241601.21916563413
206,169539.66277357383
207,172762.90729532158
208,169633.47922575657
209,184097.20732191575
210,208856.59269807252
211,204719.13991146654
212,204596.59648666086
213,190873.90707499158
214,184174.42977897823
215,209568.5347992538
216,241385.81338544824
217,186534.43834153828
218,170160.0755044513
219,229072.76893301413
220,197301.04177657876
221,194745.31359064285
222,216984.49904178188
223,182358.88045093953
224,123761.08295807806
225,78400.74215982246
226,78281.95681159478
227,80771.0826875453
228,192890.1952059103
229,124456.08529802851
230,411049.4248433282
231,56826.25431471634
232,91446.28004342451
233,298723.2310615471
234,100765.91057692133
235,266466.2917734158
236,138434.95465533144
237,208286.51941435933
238,90578.0710146576
239,355655.22362766997
240,90218.0691233473
241,65977.03417974102
242,206064.98538843635
243,207435.76474931833
244,186490.52844664844
245,183050.26042216396
246,275284.0932290179
247,168942.45645033167
248,183041.492056014
249,165813.95826566897
250,62940.456281452105
251,160299.35568418977
252,86139.98274254166
253,283841.6032647233
254,190334.35623239094
255,209052.31084463865
256,207464.97830757702
257,55492.06940792222
258,167988.21468737652
259,281329.883182159
260,87016.82598107061
261,182581.3687567325
262,233176.91267824336
263,166451.57918211367
264,611932.5568447551
265,327435.7476694342
266,195675.1961233168
267,249062.4211471783
268,141477.65170673237
269,261214.53649908508
270,89276.13483888702
271,141296.72036576297
272,177449.887509264
273,178418.8516392979
274,167984.36253785284
275,165873.08235220896
276,183817.11379122402
277,163591.78804377624
278,282233.55664290156
279,111438.72166957957
280,195631.44939613526
281,203654.84509354757
282,139122.95238842172
283,184830.21237305866
284,168548.05038196384
285,184024.8459422448
286,168957.09009180273
